data,rodada,mandante,visitante,gols_mandante,gols_visitante,status
2025-09-21T19:00:00Z,24,Mirassol FC,EC Juventude,2,0,FINISHED
2025-09-21T20:30:00Z,24,CR Flamengo,CR Vasco da Gama,1,1,FINISHED
2025-09-21T20:30:00Z,24,SC Internacional,Grêmio FBPA,2,3,FINISHED
2025-09-21T20:30:00Z,24,SC Recife,SC Corinthians Paulista,1,0,FINISHED
2025-09-21T23:30:00Z,24,Santos FC,São Paulo FC,1,0,FINISHED
2025-09-21T23:30:00Z,24,Cruzeiro EC,RB Bragantino,2,1,FINISHED
2025-09-24T22:30:00Z,16,CR Vasco da Gama,EC Bahia,3,1,FINISHED
2025-09-24T22:30:00Z,16,Grêmio FBPA,Botafogo FR,1,1,FINISHED
2025-09-27T19:00:00Z,25,Fortaleza EC,SC Recife,1,0,FINISHED
2025-09-27T21:30:00Z,25,CR Vasco da Gama,Cruzeiro EC,2,0,FINISHED
2025-09-27T21:30:00Z,25,EC Juventude,SC Internacional,1,1,FINISHED
2025-09-28T00:00:00Z,25,CA Mineiro,Mirassol FC,1,0,FINISHED
2025-09-28T14:00:00Z,25,Grêmio FBPA,EC Vitória,3,1,FINISHED
2025-09-28T19:00:00Z,25,Fluminense FC,Botafogo FR,2,0,FINISHED
2025-09-28T19:00:00Z,25,EC Bahia,SE Palmeiras,1,0,FINISHED
2025-09-28T21:30:00Z,25,RB Bragantino,Santos FC,2,2,FINISHED
2025-09-28T23:30:00Z,25,SC Corinthians Paulista,CR Flamengo,1,2,FINISHED
2025-09-29T23:00:00Z,25,São Paulo FC,Ceará SC,0,1,FINISHED
2025-10-01T00:30:00Z,26,CA Mineiro,EC Juventude,0,0,FINISHED
2025-10-01T22:00:00Z,26,SE Palmeiras,CR Vasco da Gama,3,0,FINISHED
2025-10-01T22:00:00Z,26,Mirassol FC,RB Bragantino,1,1,FINISHED
2025-10-01T22:00:00Z,26,SC Recife,Fluminense FC,2,2,FINISHED
2025-10-01T22:30:00Z,26,SC Internacional,SC Corinthians Paulista,1,1,FINISHED
2025-10-02T00:30:00Z,26,Botafogo FR,EC Bahia,2,1,FINISHED
2025-10-02T00:30:00Z,26,Santos FC,Grêmio FBPA,1,1,FINISHED
2025-10-02T22:00:00Z,26,EC Vitória,Ceará SC,1,0,FINISHED
2025-10-02T22:30:00Z,26,Fortaleza EC,São Paulo FC,0,2,FINISHED
2025-10-02T23:30:00Z,26,CR Flamengo,Cruzeiro EC,0,0,FINISHED
2025-10-04T21:30:00Z,27,Fluminense FC,CA Mineiro,3,0,FINISHED
2025-10-04T21:30:00Z,27,RB Bragantino,Grêmio FBPA,1,0,FINISHED
2025-10-04T21:30:00Z,27,SC Internacional,Botafogo FR,2,0,FINISHED
2025-10-05T00:00:00Z,27,SC Corinthians Paulista,Mirassol FC,3,0,FINISHED
2025-10-05T19:00:00Z,27,CR Vasco da Gama,EC Vitória,4,3,FINISHED
2025-10-05T19:00:00Z,27,São Paulo FC,SE Palmeiras,2,3,FINISHED
2025-10-05T21:30:00Z,27,EC Bahia,CR Flamengo,1,0,FINISHED
2025-10-05T21:30:00Z,27,EC Juventude,Fortaleza EC,1,2,FINISHED
2025-10-05T23:30:00Z,27,Cruzeiro EC,SC Recife,1,1,FINISHED
2025-10-05T23:30:00Z,27,Ceará SC,Santos FC,3,0,FINISHED
2025-10-08T22:00:00Z,14,CA Mineiro,SC Recife,3,1,FINISHED
2025-10-09T00:00:00Z,13,Mirassol FC,Fluminense FC,2,1,FINISHED
2025-10-11T22:00:00Z,12,SE Palmeiras,EC Juventude,4,1,FINISHED
2025-10-15T22:00:00Z,28,SE Palmeiras,RB Bragantino,5,1,FINISHED
2025-10-15T22:30:00Z,28,Botafogo FR,CR Flamengo,0,3,FINISHED
2025-10-15T23:00:00Z,28,Mirassol FC,SC Internacional,3,1,FINISHED
2025-10-15T23:00:00Z,28,SC Recife,Ceará SC,1,1,FINISHED
2025-10-16T00:30:00Z,28,Santos FC,SC Corinthians Paulista,3,1,FINISHED
2025-10-16T00:30:00Z,28,CA Mineiro,Cruzeiro EC,1,1,FINISHED
2025-10-16T00:30:00Z,28,Fortaleza EC,CR Vasco da Gama,0,2,FINISHED
2025-10-16T22:00:00Z,28,Grêmio FBPA,São Paulo FC,2,0,FINISHED
2025-10-17T00:30:00Z,28,Fluminense FC,EC Juventude,1,0,FINISHED
2025-10-17T00:30:00Z,28,EC Vitória,EC Bahia,2,1,FINISHED
2025-10-18T21:30:00Z,29,SC Corinthians Paulista,CA Mineiro,1,0,FINISHED
2025-10-19T00:00:00Z,29,Cruzeiro EC,Fortaleza EC,1,0,FINISHED
2025-10-19T19:00:00Z,29,CR Flamengo,SE Palmeiras,3,2,FINISHED
2025-10-19T21:30:00Z,29,Mirassol FC,São Paulo FC,3,0,FINISHED
2025-10-19T21:30:00Z,29,SC Internacional,SC Recife,2,0,FINISHED
2025-10-19T21:30:00Z,29,Ceará SC,Botafogo FR,0,2,FINISHED
2025-10-19T23:30:00Z,29,EC Bahia,Grêmio FBPA,4,0,FINISHED
2025-10-20T22:00:00Z,29,EC Juventude,RB Bragantino,1,0,FINISHED
2025-10-20T22:30:00Z,29,CR Vasco da Gama,Fluminense FC,2,0,FINISHED
2025-10-21T00:30:00Z,29,Santos FC,EC Vitória,0,1,FINISHED
2025-10-22T22:00:00Z,14,EC Bahia,SC Internacional,1,0,FINISHED
2025-10-25T19:00:00Z,30,CA Mineiro,Ceará SC,1,0,FINISHED
2025-10-25T19:00:00Z,30,EC Vitória,SC Corinthians Paulista,0,1,FINISHED
2025-10-25T20:30:00Z,30,Fluminense FC,SC Internacional,1,0,FINISHED
2025-10-25T21:30:00Z,30,SC Recife,Mirassol FC,1,2,FINISHED
2025-10-25T22:30:00Z,30,Fortaleza EC,CR Flamengo,1,0,FINISHED
2025-10-26T01:30:00Z,30,São Paulo FC,EC Bahia,2,0,FINISHED
2025-10-26T19:00:00Z,30,Botafogo FR,Santos FC,2,2,FINISHED
2025-10-26T19:00:00Z,30,Grêmio FBPA,EC Juventude,3,1,FINISHED
2025-10-26T21:30:00Z,30,RB Bragantino,CR Vasco da Gama,0,3,FINISHED
2025-10-26T23:30:00Z,30,SE Palmeiras,Cruzeiro EC,0,0,FINISHED
2025-10-29T22:00:00Z,12,Fluminense FC,Ceará SC,1,0,FINISHED
2025-11-01T19:00:00Z,31,Santos FC,Fortaleza EC,1,1,FINISHED
2025-11-01T19:00:00Z,31,Cruzeiro EC,EC Vitória,3,1,FINISHED
2025-11-01T21:00:00Z,31,Mirassol FC,Botafogo FR,0,0,FINISHED
2025-11-02T00:00:00Z,31,CR Flamengo,SC Recife,3,0,FINISHED
2025-11-02T19:00:00Z,31,SC Corinthians Paulista,Grêmio FBPA,2,0,FINISHED
2025-11-02T19:00:00Z,31,EC Bahia,RB Bragantino,2,1,FINISHED
2025-11-02T19:00:00Z,31,Ceará SC,Fluminense FC,2,0,FINISHED
2025-11-02T21:30:00Z,31,SC Internacional,CA Mineiro,0,0,FINISHED
2025-11-02T21:30:00Z,31,EC Juventude,SE Palmeiras,0,2,FINISHED
2025-11-02T23:30:00Z,31,CR Vasco da Gama,São Paulo FC,0,2,FINISHED
2025-11-05T22:00:00Z,32,RB Bragantino,SC Corinthians Paulista,2,1,FINISHED
2025-11-05T22:00:00Z,32,EC Vitória,SC Internacional,1,0,FINISHED
2025-11-05T22:00:00Z,32,SC Recife,EC Juventude,0,2,FINISHED
2025-11-05T22:30:00Z,32,Botafogo FR,CR Vasco da Gama,3,0,FINISHED
2025-11-05T23:00:00Z,32,CA Mineiro,EC Bahia,3,0,FINISHED
2025-11-05T23:00:00Z,32,Grêmio FBPA,Cruzeiro EC,0,1,FINISHED
2025-11-06T00:30:00Z,32,São Paulo FC,CR Flamengo,2,2,FINISHED
2025-11-06T22:30:00Z,32,Fluminense FC,Mirassol FC,1,0,FINISHED
2025-11-06T23:00:00Z,32,Ceará SC,Fortaleza EC,1,1,FINISHED
2025-11-07T00:30:00Z,32,SE Palmeiras,Santos FC,2,0,FINISHED
2025-11-08T19:00:00Z,33,SC Recife,CA Mineiro,2,4,FINISHED
2025-11-08T21:00:00Z,33,CR Vasco da Gama,EC Juventude,1,3,FINISHED
